FIPS Code,Geography,Year,Program Type,Population
36000,New York State,2001,Intercensal Population Estimate,19082838
36001,Albany County,2001,Intercensal Population Estimate,296232
36003,Allegany County,2001,Intercensal Population Estimate,50079
36005,Bronx County,2001,Intercensal Population Estimate,1346555
36007,Broome County,2001,Intercensal Population Estimate,200868
36009,Cattaraugus County,2001,Intercensal Population Estimate,83346
36011,Cayuga County,2001,Intercensal Population Estimate,81313
36013,Chautauqua County,2001,Intercensal Population Estimate,138730
36015,Chemung County,2001,Intercensal Population Estimate,90780
36017,Chenango County,2001,Intercensal Population Estimate,51109
36019,Clinton County,2001,Intercensal Population Estimate,80320
36021,Columbia County,2001,Intercensal Population Estimate,62953
36023,Cortland County,2001,Intercensal Population Estimate,48903
36025,Delaware County,2001,Intercensal Population Estimate,47771
36027,Dutchess County,2001,Intercensal Population Estimate,284712
36029,Erie County,2001,Intercensal Population Estimate,946515
36031,Essex County,2001,Intercensal Population Estimate,38893
36033,Franklin County,2001,Intercensal Population Estimate,50925
36035,Fulton County,2001,Intercensal Population Estimate,54904
36037,Genesee County,2001,Intercensal Population Estimate,60321
36039,Greene County,2001,Intercensal Population Estimate,47976
36041,Hamilton County,2001,Intercensal Population Estimate,5312
36043,Herkimer County,2001,Intercensal Population Estimate,64274
36045,Jefferson County,2001,Intercensal Population Estimate,111422
36047,Kings County,2001,Intercensal Population Estimate,2477252
36049,Lewis County,2001,Intercensal Population Estimate,26951
36051,Livingston County,2001,Intercensal Population Estimate,65088
36053,Madison County,2001,Intercensal Population Estimate,69852
36055,Monroe County,2001,Intercensal Population Estimate,739891
36057,Montgomery County,2001,Intercensal Population Estimate,49472
36059,Nassau County,2001,Intercensal Population Estimate,1337086
36061,New York County,2001,Intercensal Population Estimate,1555729
36063,Niagara County,2001,Intercensal Population Estimate,218552
36065,Oneida County,2001,Intercensal Population Estimate,234247
36067,Onondaga County,2001,Intercensal Population Estimate,458576
36069,Ontario County,2001,Intercensal Population Estimate,100819
36071,Orange County,2001,Intercensal Population Estimate,347674
36073,Orleans County,2001,Intercensal Population Estimate,43898
36075,Oswego County,2001,Intercensal Population Estimate,122269
