Year,Total_Consumption
2005,7492418.806355309
2006,7518885.580307395
2007,7679134.918835216
2008,7803284.591345443
2009,7785907.4582741195
2010,7917220.377463041
2011,8123943.447074196
2012,8290565.57405182
2013,8396244.362308558
2014,8445689.717134163
2015,8533555.39995827
2016,8652473.760218406
2017,8213181.239029352
2018,8851673.9457301
2019,8864572.670472508
2020,8921866.588613043
2021,8805892.033240963
2022,9033256.722965518
2023,9103497.947468173
2024,9201542.150285443
2025,9246856.511549152
2026,9317342.764794413
2027,9387712.032470433
2028,9481362.914873792
2029,9529139.12526093
2030,9599956.229678052
